# Force coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.500000e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cs            	Cl            	CmRoll        	CmPitch       	CmYaw         	Cd(f)         	Cd(r)         	Cs(f)         	Cs(r)         	Cl(f)         	Cl(r)         
1             	1.139109e+02	7.782708e-19	5.023920e+01	-2.511960e+01	-6.905798e+01	5.695544e+01	3.183584e+01	8.207504e+01	5.695544e+01	-5.695544e+01	-4.393838e+01	9.417759e+01
2             	7.481635e+01	6.451648e-19	4.342426e+01	-2.171213e+01	-5.683715e+01	3.740817e+01	1.569604e+01	5.912030e+01	3.740817e+01	-3.740817e+01	-3.512502e+01	7.854928e+01
3             	-2.096621e+01	1.569281e-20	2.012480e+00	-1.006240e+00	3.346190e-01	-1.048311e+01	-1.148935e+01	-9.476866e+00	-1.048311e+01	1.048311e+01	1.340859e+00	6.716210e-01
4             	-5.881216e+01	-4.071477e-19	-2.679108e+01	1.339554e+01	3.789680e+01	-2.940608e+01	-1.601054e+01	-4.280162e+01	-2.940608e+01	2.940608e+01	2.450126e+01	-5.129234e+01
5             	-2.732457e+01	-3.527601e-19	-2.454183e+01	1.227091e+01	3.175112e+01	-1.366229e+01	-1.391374e+00	-2.593320e+01	-1.366229e+01	1.366229e+01	1.948021e+01	-4.402203e+01
6             	1.660423e+01	-3.163592e-20	-3.688863e+00	1.844432e+00	1.398529e+00	8.302114e+00	1.014655e+01	6.457682e+00	8.302114e+00	-8.302114e+00	-4.459031e-01	-3.242960e+00
7             	2.742821e+01	2.090987e-19	1.222158e+01	-6.110789e+00	-1.956271e+01	1.371411e+01	7.603317e+00	1.982489e+01	1.371411e+01	-1.371411e+01	-1.345192e+01	2.567350e+01
8             	1.059279e+01	2.074331e-19	1.386528e+01	-6.932641e+00	-1.792896e+01	5.296393e+00	-1.636247e+00	1.222903e+01	5.296393e+00	-5.296393e+00	-1.099632e+01	2.486160e+01
9             	-6.794825e+00	5.582201e-20	6.209057e+00	-3.104528e+00	-3.558772e+00	-3.397412e+00	-6.501941e+00	-2.928840e-01	-3.397412e+00	3.397412e+00	-4.542432e-01	6.663300e+00
10            	-1.025784e+01	-8.709629e-20	-2.992010e+00	1.496005e+00	8.322738e+00	-5.128920e+00	-3.632915e+00	-6.624925e+00	-5.128920e+00	5.128920e+00	6.826733e+00	-9.818743e+00
